df1_i,df2_i,df1_hrid,df2_hrid,dist_grid,overlap_h,center_diff_h,score,n_candidates,df1_dtst,df1_dten,df1_lat,df1_lon,df2_dtst,df2_dten,df2_lat,df2_lon
1,12,HR00299,HR01338,0.0,6.0,3.0,0.6000000000000001,1,2009100803,2009100809,37.45,141.19,2009100803,2009100815,37.45,141.19
2,38,HR00349,HR01152,0.0,3.0,2.5,0.5,1,2018080521,2018080602,38.5,139.38,2018080518,2018080600,38.5,139.38
3,41,HR00401,HR01429,0.0,6.0,0.5,0.1,1,2019081003,2019081009,39.7,139.56,2019081002,2019081009,39.7,139.56
8,51,HR00171,HR00616,0.0,5.0,1.5,0.30000000000000004,2,2000070804,2000070811,38.35,141.5,2000070803,2000070809,38.35,141.5
10,68,HR00461,HR01540,0.0,5.0,0.5,0.1,1,2007090519,2007090600,37.85,140.69,2007090519,2007090601,37.85,140.69
11,69,HR00478,HR01589,0.2817800560721053,7.0,1.5,0.5817800560721054,1,2007090705,2007090712,39.15,140.88,2007090705,2007090715,38.9,140.75
12,74,HR00346,HR01407,0.0,5.0,0.0,0.0,1,2008082822,2008082903,37.1,140.62,2008082821,2008082904,37.1,140.62
13,94,HR00578,HR02074,0.0,5.0,0.0,0.0,1,2012093022,2012100103,38.95,140.75,2012093021,2012100104,38.95,140.75
14,98,HR00180,HR00722,0.0,5.0,0.5,0.1,1,2013072216,2013072221,38.2,139.88,2013072214,2013072222,38.2,139.88
16,102,HR00240,HR00957,0.0,5.0,1.5,0.30000000000000004,1,2013080907,2013080914,39.65,140.94,2013080909,2013080915,39.65,140.94
17,111,HR00428,HR01620,0.0,8.0,0.0,0.0,1,2015091020,2015091104,38.5,140.75,2015091019,2015091105,38.5,140.75
18,117,HR00438,HR01608,0.0,5.0,0.0,0.0,1,2016083014,2016083019,39.7,141.75,2016083013,2016083020,39.7,141.75
19,118,HR00475,HR01831,0.0,5.0,0.5,0.1,1,2016090823,2016090904,39.6,142.0,2016090822,2016090904,39.6,142.0
20,120,HR00278,HR00990,0.0,7.0,2.5,0.5,1,2017072214,2017072221,39.35,140.44,2017072208,2017072222,39.35,140.44
21,122,HR00279,HR01004,0.0,6.0,0.0,0.0,1,2017072300,2017072306,39.65,140.44,2017072223,2017072307,39.65,140.44
22,125,HR00453,HR01668,0.0,6.0,0.5,0.1,1,2017091722,2017091804,39.35,141.94,2017091722,2017091805,39.35,141.94
23,129,HR00342,HR01148,0.0,5.0,0.0,0.0,1,2018080511,2018080516,38.95,139.94,2018080510,2018080517,38.95,139.94
24,128,HR00347,HR01146,0.0,6.0,1.5,0.30000000000000004,1,2018080522,2018080605,38.65,140.12,2018080523,2018080607,38.65,140.12
25,136,HR00453,HR01721,0.0,6.0,0.5,0.1,1,2019082723,2019082805,39.3,141.75,2019082721,2019082806,39.3,141.75
31,164,HR00639,HR02041,0.0,7.0,1.5,0.30000000000000004,1,2024072507,2024072514,39.0,139.94,2024072506,2024072518,39.0,139.94
32,167,HR00642,HR02069,0.0,6.0,1.5,0.30000000000000004,1,2024072519,2024072601,38.8,140.06,2024072519,2024072604,38.8,140.06
33,165,HR00645,HR02058,0.0,5.0,0.0,0.0,1,2024072519,2024072600,40.0,140.19,2024072519,2024072600,40.0,140.19
