HR00001 15040622  29.90 129.62
HR00002 15040710  24.20 122.69
HR00003 15041005  32.40 131.69
HR00003 15041006  32.40 131.69
HR00004 15041611  26.40 123.56
HR00005 15041723  24.70 122.06
HR00006 15041802  25.35 122.44
HR00006 15041803  25.35 122.44
HR00007 15041805  23.25 121.88
HR00007 15041806  23.35 122.06
HR00008 15041903  24.50 122.94
HR00008 15041904  24.40 122.94
HR00008 15041905  24.35 123.00
HR00008 15041906  24.35 123.00
HR00009 15042001  27.60 128.94
HR00009 15042002  27.70 129.00
HR00009 15042003  27.75 129.19
HR00010 15042004  27.85 129.50
HR00011 15042008  22.85 122.00
HR00011 15042009  22.80 122.00
HR00011 15042010  22.80 122.00
HR00012 15042009  27.35 130.50
HR00013 15042010  27.45 131.50
HR00014 15042011  27.45 131.69
HR00015 15042019  25.60 121.69
HR00016 15042106  40.80 144.31
HR00017 15042808  26.40 123.31
HR00017 15042809  26.45 123.50
HR00018 15042821  24.45 124.12
HR00019 15042902  24.30 125.69
HR00020 15042903  24.30 125.81
HR00021 15042904  23.90 125.31
HR00022 15042905  23.85 125.25
HR00022 15042906  23.85 125.31
HR00022 15042907  23.85 125.38
HR00022 15042908  23.65 125.12
HR00022 15042909  23.70 125.25
HR00023 15042911  24.15 126.19
HR00024 15042923  31.65 128.38
HR00025 15043000  31.70 128.62
HR00025 15043001  31.80 128.75
HR00025 15043002  31.65 128.69
HR00026 15043003  31.15 129.38
HR00026 15043004  31.15 129.38
HR00027 15043011  31.40 131.00
HR00027 15043012  31.25 131.00
HR00028 15043013  22.55 125.25
HR00028 15043014  22.50 125.38
HR00029 15050103  30.95 130.75
HR00029 15050104  30.90 130.88
HR00030 15050307  25.50 123.06
HR00030 15050308  25.55 123.44
HR00031 15050402  23.30 124.88
HR00031 15050403  23.30 124.88
HR00031 15050404  23.25 125.00
HR00031 15050405  22.90 125.19
HR00031 15050406  22.90 125.25
HR00032 15050406  24.45 127.25
HR00033 15050412  23.40 126.44
HR00033 15050413  23.20 126.38
HR00033 15050414  23.10 126.19
HR00034 15050921  24.60 122.25
HR00034 15050922  24.60 122.25
HR00035 15051110  23.15 121.81
HR00035 15051111  23.15 121.81
HR00035 15051112  23.40 121.88
HR00035 15051113  23.25 121.81
HR00036 15051114  24.15 121.88
HR00036 15051115  24.55 122.12
HR00036 15051116  24.55 122.12
HR00037 15051114  22.40 122.75
HR00038 15051115  22.40 122.81
HR00039 15051116  22.50 122.94
HR00039 15051117  22.40 123.00
HR00039 15051118  22.65 123.31
HR00039 15051119  22.65 123.69
HR00040 15051123  24.35 123.81
HR00041 15051200  24.45 124.06
HR00041 15051201  24.45 124.06
HR00042 15051204  26.55 125.31
HR00042 15051205  26.50 125.38
HR00043 15051221  34.85 138.12
HR00044 15051222  35.35 138.69
HR00045 15051223  35.35 138.69
HR00046 15051510  30.35 129.81
HR00046 15051511  30.35 129.81
HR00047 15051512  30.30 129.81
HR00048 15051510  30.40 131.12
HR00049 15051519  31.25 130.25
HR00049 15051520  31.15 130.06
HR00049 15051521  31.20 130.75
HR00050 15052219  24.45 124.81
HR00051 15052308  25.55 125.06
HR00052 15052420  24.65 126.56
HR00052 15052421  24.70 126.62
HR00052 15052422  24.70 126.62
HR00052 15052423  24.70 126.62
HR00053 15052506  22.80 123.12
HR00053 15052507  22.90 123.44
HR00053 15052508  22.90 123.44
HR00054 15052508  23.20 124.25
HR00055 15052509  23.25 124.56
HR00056 15052510  22.65 123.62
HR00056 15052511  22.70 123.62
HR00057 15052513  22.75 124.50
HR00058 15052608  22.90 125.25
HR00059 15052609  22.80 125.56
HR00060 15052610  23.00 125.75
HR00061 15052611  22.90 126.12
HR00062 15052721  25.70 126.19
HR00062 15052722  25.65 126.25
HR00062 15052723  25.65 126.31
HR00063 15052723  26.55 125.19
HR00063 15052800  26.55 125.31
HR00064 15052803  26.25 126.19
HR00064 15052804  26.20 126.25
HR00064 15052805  26.20 126.25
HR00065 15052810  27.40 126.31
HR00065 15052811  27.40 126.38
HR00065 15052812  27.35 126.56
